image_name,label
0.jpg,4
1.jpg,0
10.jpg,5
100.jpg,5
101.jpg,2
102.jpg,1
103.jpg,2
104.jpg,5
105.jpg,5
106.jpg,2
107.jpg,4
108.jpg,1
109.jpg,4
11.jpg,5
110.jpg,4
111.jpg,1
112.jpg,1
113.jpg,1
114.jpg,4
115.jpg,3
116.jpg,4
117.jpg,3
118.jpg,5
119.jpg,1
12.jpg,3
120.jpg,3
121.jpg,2
122.jpg,1
123.jpg,4
124.jpg,5
125.jpg,2
126.jpg,1
127.jpg,5
128.jpg,3
129.jpg,5
13.jpg,4
130.jpg,2
131.jpg,5
132.jpg,4
133.jpg,5
134.jpg,2
135.jpg,3
136.jpg,5
137.jpg,2
138.jpg,5
139.jpg,1
14.jpg,4
140.jpg,4
141.jpg,2
142.jpg,1
143.jpg,4
144.jpg,1
145.jpg,5
146.jpg,1
147.jpg,3
148.jpg,0
149.jpg,4
15.jpg,3
150.jpg,1
151.jpg,5
152.jpg,0
153.jpg,1
154.jpg,2
155.jpg,1
156.jpg,2
157.jpg,3
158.jpg,5
159.jpg,1
16.jpg,5
160.jpg,1
161.jpg,5
162.jpg,1
163.jpg,5
164.jpg,1
165.jpg,5
166.jpg,1
167.jpg,1
168.jpg,1
169.jpg,1
17.jpg,3
170.jpg,1
171.jpg,5
172.jpg,2
173.jpg,1
174.jpg,2
175.jpg,0
176.jpg,5
177.jpg,5
178.jpg,4
179.jpg,1
18.jpg,4
180.jpg,1
181.jpg,2
182.jpg,4
183.jpg,5
184.jpg,4
185.jpg,5
186.jpg,1
187.jpg,3
188.jpg,4
189.jpg,4
19.jpg,3
190.jpg,5
191.jpg,2
192.jpg,3
193.jpg,5
194.jpg,4
195.jpg,0
196.jpg,4
197.jpg,3
198.jpg,3
199.jpg,0
2.jpg,1
20.jpg,2
200.jpg,3
201.jpg,3
202.jpg,1
203.jpg,1
204.jpg,1
205.jpg,1
206.jpg,1
207.jpg,0
208.jpg,5
209.jpg,3
21.jpg,1
210.jpg,4
211.jpg,0
212.jpg,4
213.jpg,3
214.jpg,0
215.jpg,2
216.jpg,4
217.jpg,1
218.jpg,4
219.jpg,3
22.jpg,5
220.jpg,3
221.jpg,4
222.jpg,5
223.jpg,3
224.jpg,1
225.jpg,3
226.jpg,2
227.jpg,1
228.jpg,1
229.jpg,0
23.jpg,4
230.jpg,5
231.jpg,5
232.jpg,4
233.jpg,3
234.jpg,4
235.jpg,3
236.jpg,3
237.jpg,1
238.jpg,1
239.jpg,3
24.jpg,1
240.jpg,5
241.jpg,1
242.jpg,3
243.jpg,1
244.jpg,0
245.jpg,0
246.jpg,4
247.jpg,1
248.jpg,1
249.jpg,5
25.jpg,4
250.jpg,4
251.jpg,0
252.jpg,1
253.jpg,5
254.jpg,4
255.jpg,0
256.jpg,4
257.jpg,4
258.jpg,4
259.jpg,1
26.jpg,3
260.jpg,4
261.jpg,3
262.jpg,3
263.jpg,4
264.jpg,4
265.jpg,1
266.jpg,3
267.jpg,1
268.jpg,1
269.jpg,5
27.jpg,0
270.jpg,4
271.jpg,5
272.jpg,5
273.jpg,0
274.jpg,4
275.jpg,4
276.jpg,1
277.jpg,5
278.jpg,1
279.jpg,5
28.jpg,0
280.jpg,1
281.jpg,1
282.jpg,5
283.jpg,4
284.jpg,0
285.jpg,5
